Census Tract;Bus stops;Health center;Hospitals;Universities;Bus stations;Faculty;Supermarkets;Open Markets;% of artificial surface;Road density;Total.Area
1815801003;0;0;0;0;0;0;0;0;46,37871208;18,19072083;868169,1313
2906708018;0;0;0;0;0;0;0;0;86,76567832;34,47065669;638139,178
2101305001;0;1;0;0;0;0;0;0;67,5354033;34,34495793;269158,0298
1101101001;4;1;0;0;1;0;0;0;1,26027654;188,9295246;30758419,21
401307029;0;0;0;0;0;0;0;0;100;29,9778506;15774,8834
1103205014;0;0;0;0;0;0;0;0;30,31237498;32,90985084;899024,8294
2301801001;0;1;0;0;0;0;0;0;0;0;139301944,7
4109102039;0;0;0;0;0;0;0;0;100;40,60890134;17959,67801
4109101005;0;0;0;0;0;0;0;0;100;28,71190827;47158,03241
407902008;10;1;0;0;0;0;0;0;18,45916297;86,15666104;1635997,74
4109106005;0;0;0;0;0;0;0;0;100;38,08990738;38426,6773
1102201006;0;0;0;0;0;0;0;0;100;18,85055596;57242,40024
4109103016;0;0;0;0;0;0;0;0;100;23,64600666;196747,4143
1101208009;0;0;0;0;0;0;0;0;100;23,92307087;23608,79092
401306030;0;0;0;0;0;0;0;0;37,8338668;60,13927422;160027,978
4109103033;0;0;0;0;0;0;1;0;100;21,96404832;162693,7876
4109102044;0;0;0;0;0;0;0;0;83,71675365;35,6204403;138941,5474
4105501002;0;0;0;0;0;0;0;0;100;27,42842382;84664,76641
1103003005;0;0;0;0;0;0;0;0;100;28,41673153;92632,59239
1400202003;1;0;0;0;0;0;0;0;7,665762906;27,28466862;4315802,972
1404203001;0;1;0;0;0;0;0;0;100;30,97192704;89468,71273
1402110009;0;0;0;0;0;0;0;0;100;20,69698652;47320,12892
4109104103;0;0;0;0;0;0;0;0;79,800294;42,3841776;294712,0057
1808201001;10;2;0;0;0;0;0;0;0;0;117801147,8
1402109034;0;0;0;0;0;0;0;0;99,9999998;27,86839094;238198,6764
2906708030;0;0;0;0;0;0;0;0;12,73298307;55,20482436;7475650,42
401305004;0;0;0;0;0;0;0;0;100;24,53249805;43431,54011
402101001;1;1;0;0;0;0;0;0;0;0;26349331,75
4103804010;0;0;0;0;0;0;0;0;99,9999993;28,70287194;108242,8832
2906702017;0;0;1;0;0;0;0;0;48,03051579;27,79385578;1329259,503
2309201001;0;0;0;1;0;0;0;0;100;31,95655899;92719,15347
2906707038;0;0;0;0;0;0;0;0;100;41,51789892;22760,12201
1807901003;2;0;0;0;0;0;0;0;6,32852712;26,56982382;5439280,656
4109106001;0;0;0;0;0;0;0;0;48,39607685;67,45922205;68589,95085
